respondent_id,itemid,response,correct,error_matrix,error_concept,error_correct,error_part_duplicated,error_other,error_wrong_item,error_empty,duplicate_A,duplicate_B,duplicate_C,duplicated
DiscoLM-mixtral-8x7b-v2,1,000000100,1,0,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,3,000444000,0,0,0,0,0,0,0,0,0,0,1,1
DiscoLM-mixtral-8x7b-v2,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,5,770700770,0,1,0,0,0,0,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,6,050050011,0,0,0,0,0,0,0,0,0,0,1,1
DiscoLM-mixtral-8x7b-v2,7,000111111,0,0,0,0,0,1,0,0,0,0,0,0
DiscoLM-mixtral-8x7b-v2,8,000444000,0,0,0,0,0,1,0,0,0,0,0,0
MythoMax-L2-13b,1,000000000,0,0,0,0,0,0,0,0,0,0,0,0
MythoMax-L2-13b,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
MythoMax-L2-13b,3,000666000,1,0,0,0,0,0,0,0,0,0,0,0
MythoMax-L2-13b,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
MythoMax-L2-13b,5,700700770,0,0,0,0,0,0,0,0,0,0,1,1
MythoMax-L2-13b,6,050050011,0,0,0,0,0,0,0,0,0,0,1,1
MythoMax-L2-13b,7,000102102,0,0,0,0,0,0,0,0,0,0,1,1
MythoMax-L2-13b,8,000444000,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,1,000110100,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,2,770000700,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,3,000000444,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,5,770700770,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,6,000000000,0,0,0,0,0,0,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,7,111000102,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Capybara-7B-V1p9,8,000000000,0,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,1,000100100,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,3,060444060,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,5,700700770,0,0,0,0,0,0,0,0,0,0,1,1
Nous-Hermes-2-Yi-34B,6,000050000,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,7,000102000,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-2-Yi-34B,8,000000000,0,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,1,000000100,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,3,000666000,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,5,770700700,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,6,370050013,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,7,101000102,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-Llama2-70b,8,000333000,0,0,0,0,0,0,0,0,0,1,0,1
Nous-Hermes-llama-2-7b,1,000000100,1,0,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,2,770700770,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,3,000000000,0,0,0,0,0,0,0,1,0,0,0,0
Nous-Hermes-llama-2-7b,4,000404000,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,5,770700770,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,6,000050000,0,0,0,0,0,1,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,7,111000102,0,1,0,0,0,0,0,0,0,0,0,0
Nous-Hermes-llama-2-7b,8,000333000,0,0,0,0,0,0,0,0,0,1,0,1
Mistral-7B-OpenOrca,1,000000100,1,0,0,0,0,0,0,0,0,0,0,0
Mistral-7B-OpenOrca,2,700770000,0,0,0,0,0,1,0,0,0,0,0,0
Mistral-7B-OpenOrca,3,000444000,0,0,0,0,0,0,0,0,0,0,1,1
Mistral-7B-OpenOrca,4,000404000,0,1,0,0,0,0,0,0,0,0,0,0
Mistral-7B-OpenOrca,5,700700770,0,0,0,0,0,0,0,0,0,0,1,1
Mistral-7B-OpenOrca,6,330050011,0,1,0,0,0,0,0,0,0,0,0,0
Mistral-7B-OpenOrca,7,111102102,0,1,0,0,0,0,0,0,0,0,0,0
Mistral-7B-OpenOrca,8,000444000,0,0,0,0,0,1,0,0,0,0,0,0
Toppy-M-7B,1,000000100,1,0,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,3,000666000,1,0,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,5,770700770,0,1,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,6,330050011,0,1,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,7,111102102,0,1,0,0,0,0,0,0,0,0,0,0
Toppy-M-7B,8,000444000,0,0,0,0,0,1,0,0,0,0,0,0
WizardLM-13B-V1.2,1,000110000,0,0,0,0,0,1,0,0,0,0,0,0
WizardLM-13B-V1.2,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
WizardLM-13B-V1.2,3,000444000,0,0,0,0,0,0,0,0,0,0,1,1
WizardLM-13B-V1.2,4,000404000,0,1,0,0,0,0,0,0,0,0,0,0
WizardLM-13B-V1.2,5,700700770,0,0,0,0,0,0,0,0,0,0,1,1
WizardLM-13B-V1.2,6,000050000,0,0,0,0,0,1,0,0,0,0,0,0
WizardLM-13B-V1.2,7,000000000,0,0,0,0,0,0,0,0,0,0,0,0
WizardLM-13B-V1.2,8,333444000,0,0,1,0,0,0,0,0,0,0,0,0
Platypus2-70B-instruct,1,000000010,0,0,0,0,1,0,0,0,0,0,0,0
Platypus2-70B-instruct,2,770000770,1,0,0,0,0,0,0,0,0,0,0,0
Platypus2-70B-instruct,3,060444060,0,1,0,0,0,0,0,0,0,0,0,0
Platypus2-70B-instruct,4,000404404,1,0,0,0,0,0,0,0,0,0,0,0
Platypus2-70B-instruct,5,700770700,0,0,0,0,1,0,0,0,0,0,0,0
Platypus2-70B-instruct,6,070070033,1,0,0,0,0,0,0,0,0,0,0,0
